id;url;Perfume;Brand;Country;Gender;RatingValue;RatingCount;releaseYear;PerfumeTop;PerfumeMiddle;PerfumeBase;Perfumer1;Perfumer2;MainAccord1;MainAccord2;MainAccord3;MainAccord4;MainAccord5;caminho_imagem_local;Perfumes-seletos
10544;https://www.fragrantica.com/perfume/o-boticario/cuide-se-bem-bob-esponja-95190.html;cuide-se-bem-bob-esponja;o-boticario;Brazil;unisex;393;30;20240.0;pineapple, tropical fruits, apple blossom, mint;champagne ros�, orange blossom, lime (linden blossom);pi�a colada, natural musk, sandalwood;unknown;;fruity;sweet;tropical;fresh;coconut;downloaded_images\10544_cuide_se_bem_bob_esponja.jpg;o-boticario
10545;https://www.fragrantica.com/perfume/o-boticario/make-b-eau-de-parfum-25793.html;make-b-eau-de-parfum;o-boticario;Brazil;women;393;254;20140.0;apricot, pink pepper, raspberry, tea, lemon, bergamot, mandarin orange;orchid, freesia, rose de mai, jasmine;vanilla, patchouli, benzoin, musk, amber, vetiver;rafael marano;v�ronique nyberg;amber;vanilla;sweet;powdery;fruity;downloaded_images\10545_make_b_eau_de_parfum.jpg;o-boticario
10552;https://www.fragrantica.com/perfume/prada/infusion-mandarine-49713.html;infusion-mandarine;prada;Italy;unisex;393;350;20180.0;green mandarin, orange, orange peel, mandarin leaf;orange blossom, neroli;opoponax;daniela (roche) andrier;;citrus;white floral;sweet;;;downloaded_images\10552_infusion_mandarine.jpg;prada
10553;https://www.fragrantica.com/perfume/prada/prada-la-femme-39030.html;prada-la-femme;prada;Italy;women;393;2897;20160.0;magnolia, bergamot, carrot seeds;frangipani, tuberose, ylang-ylang, iris, spices;beeswax, vanilla, vetiver;daniela (roche) andrier;;floral;tuberose;beeswax;tropical;white floral;downloaded_images\10553_prada_la_femme.jpg;prada
10554;https://www.fragrantica.com/perfume/prada/un-chant-d-amour-32196.html;un-chant-d-amour;prada;Italy;unisex;393;74;20150.0;neroli, bergamot;cotton flower, orange blossom, jasmine, lily-of-the-valley;musk, benzoin;daniela (roche) andrier;;white floral;powdery;citrus;musky;floral;downloaded_images\10554_un_chant_d_amour.jpg;prada
10580;https://www.fragrantica.com/perfume/yves-saint-laurent/black-opium-25324.html;black-opium;yves-saint-laurent;France;women;393;25669;20140.0;pear, pink pepper, orange blossom;coffee, jasmine, bitter almond, licorice;vanilla, patchouli, cashmere wood, cedar;unknown;;vanilla;coffee;sweet;warm spicy;white floral;downloaded_images\10580_black_opium.jpg;yves-saint-laurent
10581;https://www.fragrantica.com/perfume/yves-saint-laurent/l-homme-le-parfum-59731.html;l-homme-le-parfum;yves-saint-laurent;France;men;393;899;20200.0;ozonic notes, cardamom, lemon;geranium, violet leaf, basil;amberwood, cedar essence, vetiver;unknown;;woody;aromatic;ozonic;warm spicy;fresh spicy;downloaded_images\10581_l_homme_le_parfum.jpg;yves-saint-laurent
10582;https://www.fragrantica.com/perfume/yves-saint-laurent/libre-56077.html;libre;yves-saint-laurent;France;women;393;14331;20190.0;lavender, mandarin orange, black currant, petitgrain;lavender, orange blossom, jasmine;madagascar vanilla, musk, cedar, ambergris;anne flipo;carlos benaim;white floral;citrus;lavender;vanilla;aromatic;downloaded_images\10582_libre.jpg;yves-saint-laurent
10628;https://www.fragrantica.com/perfume/al-wataniah/noor-al-sabah-64581.html;noor-al-sabah;al-wataniah;UAE;unisex;393;61;;mandarin orange, raspberry, rose, strawberry, cherry;grapefruit, black currant;musk, patchouli;unknown;;citrus;fruity;musky;rose;woody;downloaded_images\10628_noor_al_sabah.jpg;al-wataniah
10704;https://www.fragrantica.com/perfume/nuancielo/honora-60545.html;honora;nuancielo;Brazil;unisex;393;29;20180.0;rhubarb leaf, bergamot;ylang-ylang, orange blossom, green notes;bourbon vanilla, sandalwood, amberwood, woodsy notes;unknown;;sweet;green;vanilla;yellow floral;woody;downloaded_images\10704_honora.jpg;nuancielo
10733;https://www.fragrantica.com/perfume/sapientiae-niche/cocoventura-56581.html;cocoventura;sapientiae-niche;Brazil;unisex;393;81;20170.0;coconut, pineapple, lime, apple, bergamot, orange;cedar, geranium, grapefruit;oakmoss, cedar, patchouli;sanderson santana;;coconut;sweet;woody;citrus;fruity;downloaded_images\10733_cocoventura.jpg;sapientiae-niche
10804;https://www.fragrantica.com/perfume/al-haramain-perfumes/detour-rouge-78107.html;detour-rouge;al-haramain-perfumes;UAE;unisex;394;99;20220.0;lavender, cardamom, bergamot;tobacco, black tea, violet;musk, tonka bean, cedar;unknown;;aromatic;powdery;musky;warm spicy;sweet;downloaded_images\10804_detour_rouge.jpg;al-haramain-perfumes
10805;https://www.fragrantica.com/perfume/armaf/derby-club-house-27690.html;derby-club-house;armaf;UAE;men;394;137;;lavender, bergamot;spicy notes, blackwood, patchouli, cedar;vanilla, tonka bean, white amber;unknown;;lavender;woody;vanilla;amber;warm spicy;downloaded_images\10805_derby_club_house.jpg;armaf
10806;https://www.fragrantica.com/perfume/armaf/vanity-femme-essence-27684.html;vanity-femme-essence;armaf;UAE;women;394;126;;bitter orange, freesia, peach, orange blossom;rose, magnolia, jasmine;musk, vanilla, amber;unknown;;floral;citrus;white floral;rose;powdery;downloaded_images\10806_vanity_femme_essence.jpg;armaf
10820;https://www.fragrantica.com/perfume/bvlgari/mon-jasmin-noir-11512.html;mon-jasmin-noir;bvlgari;Italy;women;394;3304;20110.0;lily-of-the-valley, citron;jasmine, jasmine sambac;nougat, musk, virginia cedar, patchouli;olivier polge;sophie labb�;white floral;sweet;woody;musky;fresh;downloaded_images\10820_mon_jasmin_noir.jpg;bvlgari
10821;https://www.fragrantica.com/perfume/bvlgari/rose-goldea-39834.html;rose-goldea;bvlgari;Italy;women;394;1618;20160.0;rose, musk, pomegranate, bergamot;damask rose, peony, jasmine, peach;musk, sandalwood, olibanum, vanilla;alberto morillas;;rose;floral;woody;musky;fresh;downloaded_images\10821_rose_goldea.jpg;bvlgari
